"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","species"
"1",1563121.0451505,675294.246062786,633453.542729248,1101375.94368674,1442571.13137394,1882132.61870412,3167503.98852945,1.00157845206308,2159,0,1,"N[1]",1,"AMGP"
"2",2822019.2157479,2739276.52779092,732160.04664382,1394768.37150807,2092193.80821868,3301997.26866725,9388837.84656607,1.00703619903963,5584,0,1,"N[2]",2,"BASA"
"3",696892.579822337,488077.633305295,228448.885494288,422096.376515458,583071.231244853,822794.503651382,1830763.60649871,1.01066107240466,2263,0,1,"N[3]",3,"BBPL"
"4",514552.508646097,436028.866331591,152621.955452526,283201.073813744,406249.920864795,606361.146580585,1505233.77628186,1.01655227704314,3175,0,1,"N[4]",4,"BBSA"
"5",1894142.30878794,1614530.34385203,697894.300689577,1120603.06627671,1495146.28614339,2103428.34234715,5746965.41306892,0.999979129353923,15000,0,1,"N[5]",5,"DUNL"
"6",1491499.76282692,1217686.11302521,404469.908048894,816419.83124533,1189038.50930377,1777825.70849781,4365504.6527865,1.00637867592879,5965,0,1,"N[6]",6,"LESA"
"7",3708661.98645855,1672530.00543722,1852730.85443527,2704306.97158966,3388642.98315341,4313479.18329264,7407599.66000973,1.01594968591428,6526,0,1,"N[7]",7,"PESA"
"8",315649.764481273,434814.104054142,92621.3232524106,182655.369131294,255523.31835851,371482.02047351,870271.868215009,1.18937271225308,15000,0,1,"N[8]",8,"REKN"
"9",6604285.9693012,15571380.3879525,3603278.57051742,4941383.69173288,5929607.8571761,7252321.71640758,12333753.3216093,1.27031178528041,15000,0,1,"N[9]",9,"REPH"
"10",1510349.86036652,770508.596436041,736056.574161644,1068555.71925571,1342684.20834582,1740502.70087979,3254254.74524216,1.00384732832408,4915,0,1,"N[10]",10,"RNPH"
"11",975327.362998936,1832508.33259248,208788.01044415,475086.679133325,712233.362563442,1103259.04772069,3160176.53441118,1.14249260093827,6142,0,1,"N[11]",11,"RUTU"
"12",692835.188963848,818713.260849507,192096.607415491,359517.627117239,523150.485912933,793468.950021342,2218776.47737702,1.07226092138283,697,0,1,"N[12]",12,"SAND"
"13",1749809.83772489,2136182.83108635,339466.864303818,739955.443997444,1176361.61718104,1969941.9112283,6592886.92902459,1.00867917456273,4085,0,1,"N[13]",13,"SEPL"
"14",8806105.18375092,5395494.80541308,3687657.26997457,5666403.8527472,7441142.79079936,10252298.5184678,21759759.4080786,1.0004302479573,14152,0,1,"N[14]",14,"SESA"
"15",506030.611889717,284417.21604572,209563.661521512,334320.337453516,443621.400041002,595763.803667719,1168463.32973106,1.00190249357083,4932,0,1,"N[15]",15,"STSA"
"16",178960.833519605,115850.319403802,55511.5657373319,112658.064325239,155748.804468786,214522.774760606,439126.683108977,1.00648814767287,5975,0,1,"N[16]",16,"WISN"
"17",7667123.76214244,6948928.34025287,3780779.41470808,5360223.17624183,6672514.83213168,8560832.89371214,17291919.6539201,1.11969863298,15000,0,1,"N[17]",17,"WRSA"
