"plot","old_plot","year","month","day","date","survey_date","start_time1","start_time1.1","end_time1","end_time1.1","type","duration","region","region_code","subregion","subregion_code","zone","cluster","cluster_size","survey_method","Tylercomment","quality1","quality2","quality1_date","quality2_date","prop_surveyed","Selection_Method","Sighting_code","species","group","final_nests","final_centroids","final_decision_comment","Count_Nests_found","Count_Probable_nest","Count_Pairs","Count_Male","Count_Female","Count_Unknown_sex","Incidentals.Off_Plot_Birds_Seen_Y.N","GIS_UTM_ZONE","UTM_SW_Easting","UTM_SW_Northing","UTM_NW_Easting","UTM_NW_Northing","UTM_NE_Easting","UTM_NE_Northing","UTM_SE_Easting","UTM_SE_Northing","plot_area","snow_cover","habitat","X1.Region","X2.Zone","X3.Plot","X4.Area","X5.Land","X6.Elev","X7.Hab","X8.Pgood","X9.Pfair","X10.Ppoor","X12.UniqueZone","X11.UniqueZone","number","plotID","camp"
"ARV-2001","ARV1",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11140L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","SESA","Shorebirds",2,1,"",NA,NA,NA,NA,NA,NA,"yes",15,440801,6778971,440801,6779371,441099,6779371,441099,6778971,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"ARV-2001.2008","ARV"
"ARV-2002","ARV2",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11093L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","DUNL","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"yes",15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ARV-2002.2008","ARV"
"ARV-2002","ARV2",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11093L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","SESA","Shorebirds",1,1,"",NA,NA,NA,NA,NA,NA,"yes",15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARV-2002.2008","ARV"
"ARV-2003","ARV3",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11155L6",NA,NA,"not applicable - final decision","",NA,3,"","May 1, 2015",NA,"field selected","0","DUNL","Shorebirds",0,3,"",NA,NA,NA,NA,NA,NA,"yes",15,439942,6775687,439942,6776087,440242,6776087,440242,6775687,0.12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"ARV-2003.2008","ARV"
"ARV-2003","ARV3",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11155L6",NA,NA,"not applicable - final decision","",NA,3,"","May 1, 2015",NA,"field selected","0","RNPH","Shorebirds",0,2,"",NA,NA,NA,NA,NA,NA,"yes",15,439942,6775687,439942,6776087,440242,6776087,440242,6775687,0.12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARV-2003.2008","ARV"
"ARV-2003","ARV3",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11155L6",NA,NA,"not applicable - final decision","",NA,3,"","May 1, 2015",NA,"field selected","0","SEPL","Shorebirds",0,1,"",NA,NA,NA,NA,NA,NA,"yes",15,439942,6775687,439942,6776087,440242,6776087,440242,6775687,0.12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ARV-2003.2008","ARV"
"ARV-2003","ARV3",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11155L6",NA,NA,"not applicable - final decision","",NA,3,"","May 1, 2015",NA,"field selected","0","SESA","Shorebirds",0,2,"",NA,NA,NA,NA,NA,NA,"yes",15,439942,6775687,439942,6776087,440242,6776087,440242,6775687,0.12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARV-2003.2008","ARV"
"ARV-2004","ARV4",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11153L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","DUNL","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"yes",15,437632,6776829,NA,NA,NA,NA,NA,NA,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARV-2004.2008","ARV"
"ARV-2004","ARV4",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11153L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","SESA","Shorebirds",0,2,"",NA,NA,NA,NA,NA,NA,"yes",15,437632,6776829,NA,NA,NA,NA,NA,NA,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARV-2004.2008","ARV"
"ARV-2004","ARV4",2008,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southwest Hudson Barrens","6","Amaruq & Meadowbank Mine Project","6.1","11153L6",NA,NA,"not applicable - final decision","",NA,1,"","May 1, 2015",NA,"field selected","0","STSA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"yes",15,437632,6776829,NA,NA,NA,NA,NA,NA,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ARV-2004.2008","ARV"
"COI-IntA","A",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","643_B_R4",NA,NA,"not applicable - final decision","",NA,1,"","October 16, 2019",NA,"field selected","0","DUNL","Shorebirds",2,1,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,425017.9999,6972094,425317.9999,6972094,425317.9999,6971694,425017.9999,6971694,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"COI-IntA.2006","COI"
"COI-IntA","A",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","643_B_R4",NA,NA,"not applicable - final decision","",NA,1,"","October 16, 2019",NA,"field selected","0","PESA","Shorebirds",1,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,425017.9999,6972094,425317.9999,6972094,425317.9999,6971694,425017.9999,6971694,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"COI-IntA.2006","COI"
"COI-IntA","A",2006,"not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","INTENSIVE","","Southampton","4","Coats Island","4.2","643_B_R4",NA,NA,"not applicable - final decision","",NA,1,"","October 16, 2019",NA,"field selected","0","REPH","Shorebirds",2,0,"",NA,NA,NA,NA,NA,NA,"not applicable - final decision",17,425017.9999,6972094,425317.9999,6972094,425317.9999,6971694,425017.9999,6971694,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"COI-IntA.2006","COI"
