plot,old_plot,year,month,day,date,survey_date,start_time1,start_time1.1,end_time1,end_time1.1,type,duration,region,region_code,subregion,subregion_code,zone,cluster,cluster_size,survey_method,Tylercomment,quality1,quality2,quality1_date,quality2_date,prop_surveyed,Selection_Method,Sighting_code,species,group,final_nests,final_centroids,final_decision_comment,Count_Nests_found,Count_Probable_nest,Count_Pairs,Count_Male,Count_Female,Count_Unknown_sex,Incidentals.Off_Plot_Birds_Seen_Y.N,GIS_UTM_ZONE,UTM_SW_Easting,UTM_SW_Northing,UTM_NW_Easting,UTM_NW_Northing,UTM_NE_Easting,UTM_NE_Northing,UTM_SE_Easting,UTM_SE_Northing,plot_area,snow_cover,habitat,X1.Region,X2.Zone,X3.Plot,X4.Area,X5.Land,X6.Elev,X7.Hab,X8.Pgood,X9.Pfair,X10.Ppoor,X12.UniqueZone,clusterID,surveyID,plotID,camp,number
ARV-2001,ARV1,2008,6,14,14-Jun-08,14-Jun-08,13:30,13:30,15:40,15:40,INTENSIVE,0.090277778,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11140L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,CAGO,Waterfowl,NA,NA,,0,0,1,0,0,1,yes,15,440801,6778971,440801,6779371,441099,6779371,441099,6778971,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:30.ARV-2001.June 14, 2008",ARV-2001.2008,ARV,4
ARV-2001,ARV1,2008,6,14,14-Jun-08,14-Jun-08,13:30,13:30,15:40,15:40,INTENSIVE,0.090277778,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11140L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,SESA,Shorebirds,NA,NA,,2,0,0,0,0,5,yes,15,440801,6778971,440801,6779371,441099,6779371,441099,6778971,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:30.ARV-2001.June 14, 2008",ARV-2001.2008,ARV,14
ARV-2001,ARV1,2008,6,14,14-Jun-08,14-Jun-08,13:30,13:30,15:40,15:40,INTENSIVE,0.090277778,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11140L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,LALO,Passerines,NA,NA,,0,0,0,5,2,0,yes,15,440801,6778971,440801,6779371,441099,6779371,441099,6778971,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:30.ARV-2001.June 14, 2008",ARV-2001.2008,ARV,14
ARV-2001,ARV1,2008,6,14,14-Jun-08,14-Jun-08,13:30,13:30,15:40,15:40,INTENSIVE,0.090277778,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11140L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,SAVS,Passerines,NA,NA,,0,0,0,0,1,0,yes,15,440801,6778971,440801,6779371,441099,6779371,441099,6778971,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:30.ARV-2001.June 14, 2008",ARV-2001.2008,ARV,2
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,SESA,Shorebirds,NA,NA,,2,0,0,0,0,4,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,12
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,UNRE,Passerines,NA,NA,,0,0,0,0,0,3,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,6
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,WIPT,Grouse,NA,NA,,0,0,0,0,1,0,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,2
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,DUNL,Shorebirds,NA,NA,,1,0,0,0,1,0,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,4
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,LALO,Passerines,NA,NA,,0,0,4,13,1,0,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,36
ARV-2002,ARV2,2008,6,16,16-Jun-08,16-Jun-08,10:50,10:50,14:45,14:45,INTENSIVE,0.163194444,Southwest Hudson Barrens,6,Amaruq & Meadowbank Mine Project,6.1,11093L6,NA,NA,rapid,,NA,1,,01-May-15,1,field selected,1,LTDU,Waterfowl,NA,NA,,0,0,0,1,0,0,yes,15,440663,6779437,440663,6779838,440960,6779838,440961,6779437,0.12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:50.ARV-2002.June 16, 2008",ARV-2002.2008,ARV,2
