"species","j_species","j_sub_region","X1.Region"
"AMGP",1,1,1.1
"AMGP",1,3,2.1
"AMGP",1,4,2.2
"AMGP",1,5,2.3
"AMGP",1,6,3.1
"AMGP",1,7,3.2
"AMGP",1,8,4.1
"AMGP",1,9,4.2
"AMGP",1,10,5.2
"AMGP",1,11,6.1
"AMGP",1,12,7.1
"AMGP",1,14,7.3
"AMGP",1,15,7.4
"AMGP",1,16,7.5
"AMGP",1,17,8.1
"AMGP",1,18,8.2
"AMGP",1,19,8.4
"AMGP",1,20,8.5
"AMGP",1,21,9.3
"AMGP",1,22,9.4
"AMGP",1,23,9.5
"AMGP",1,28,10.5
"AMGP",1,30,12.1
"AMGP",1,31,12.2
"AMGP",1,32,12.3
"BASA",2,3,2.1
"BASA",2,5,2.3
"BASA",2,10,5.2
"BASA",2,11,6.1
"BASA",2,12,7.1
"BASA",2,16,7.5
"BASA",2,17,8.1
"BASA",2,18,8.2
"BASA",2,19,8.4
"BASA",2,20,8.5
"BASA",2,22,9.4
"BASA",2,24,10.1
"BASA",2,26,10.3
"BASA",2,28,10.5
"BASA",2,29,11.1
"BASA",2,30,12.1
"BASA",2,31,12.2
"BBPL",3,1,1.1
"BBPL",3,4,2.2
"BBPL",3,5,2.3
"BBPL",3,6,3.1
"BBPL",3,7,3.2
"BBPL",3,8,4.1
"BBPL",3,9,4.2
"BBPL",3,12,7.1
"BBPL",3,19,8.4
"BBPL",3,21,9.3
"BBPL",3,22,9.4
"BBPL",3,23,9.5
"BBPL",3,24,10.1
"BBPL",3,27,10.4
"BBPL",3,28,10.5
"BBPL",3,32,12.3
"BBSA",4,10,5.2
"BBSA",4,12,7.1
"BBSA",4,16,7.5
"BBSA",4,19,8.4
"BBSA",4,20,8.5
"BBSA",4,21,9.3
"BBSA",4,22,9.4
"BBSA",4,23,9.5
"BBSA",4,28,10.5
"DUNL",5,1,1.1
"DUNL",5,2,1.2
"DUNL",5,3,2.1
"DUNL",5,5,2.3
"DUNL",5,6,3.1
"DUNL",5,7,3.2
"DUNL",5,8,4.1
"DUNL",5,9,4.2
"DUNL",5,10,5.2
"DUNL",5,11,6.1
"DUNL",5,12,7.1
"DUNL",5,17,8.1
"DUNL",5,18,8.2
"DUNL",5,19,8.4
"DUNL",5,20,8.5
"LESA",6,1,1.1
"LESA",6,2,1.2
"LESA",6,11,6.1
"LESA",6,13,7.2
"LESA",6,14,7.3
"LESA",6,15,7.4
"LESA",6,16,7.5
"LESA",6,17,8.1
"LESA",6,30,12.1
"LESA",6,31,12.2
"LESA",6,32,12.3
"PESA",7,3,2.1
"PESA",7,6,3.1
"PESA",7,7,3.2
"PESA",7,8,4.1
"PESA",7,10,5.2
"PESA",7,11,6.1
"PESA",7,12,7.1
"PESA",7,15,7.4
"PESA",7,16,7.5
"PESA",7,17,8.1
"PESA",7,18,8.2
"PESA",7,19,8.4
"PESA",7,20,8.5
"PESA",7,21,9.3
"PESA",7,22,9.4
"PESA",7,23,9.5
"PESA",7,26,10.3
"PESA",7,27,10.4
"PESA",7,28,10.5
"PESA",7,29,11.1
"PESA",7,30,12.1
"PESA",7,31,12.2
"PESA",7,32,12.3
"REKN",8,6,3.1
"REKN",8,7,3.2
"REKN",8,19,8.4
"REKN",8,20,8.5
"REKN",8,22,9.4
"REKN",8,24,10.1
"REKN",8,26,10.3
"REKN",8,28,10.5
"REKN",8,29,11.1
"REPH",9,3,2.1
"REPH",9,5,2.3
"REPH",9,6,3.1
"REPH",9,7,3.2
"REPH",9,8,4.1
"REPH",9,9,4.2
"REPH",9,10,5.2
"REPH",9,12,7.1
"REPH",9,14,7.3
"REPH",9,17,8.1
"REPH",9,18,8.2
"REPH",9,19,8.4
"REPH",9,20,8.5
"REPH",9,21,9.3
"REPH",9,22,9.4
"REPH",9,24,10.1
"REPH",9,26,10.3
"REPH",9,27,10.4
"REPH",9,28,10.5
"REPH",9,30,12.1
"RNPH",10,1,1.1
"RNPH",10,2,1.2
"RNPH",10,10,5.2
"RNPH",10,11,6.1
"RNPH",10,13,7.2
"RNPH",10,14,7.3
"RNPH",10,15,7.4
"RNPH",10,16,7.5
"RNPH",10,17,8.1
"RNPH",10,18,8.2
"RNPH",10,20,8.5
"RNPH",10,30,12.1
"RNPH",10,31,12.2
"RNPH",10,32,12.3
"RUTU",11,6,3.1
"RUTU",11,8,4.1
"RUTU",11,9,4.2
"RUTU",11,10,5.2
"RUTU",11,19,8.4
"RUTU",11,20,8.5
"RUTU",11,21,9.3
"RUTU",11,23,9.5
"RUTU",11,24,10.1
"RUTU",11,26,10.3
"RUTU",11,28,10.5
"RUTU",11,29,11.1
"SAND",12,8,4.1
"SAND",12,17,8.1
"SAND",12,19,8.4
"SAND",12,21,9.3
"SAND",12,22,9.4
"SAND",12,23,9.5
"SAND",12,24,10.1
"SAND",12,26,10.3
"SAND",12,27,10.4
"SAND",12,28,10.5
"SAND",12,29,11.1
"SAND",12,31,12.2
"SEPL",13,1,1.1
"SEPL",13,2,1.2
"SEPL",13,10,5.2
"SEPL",13,11,6.1
"SEPL",13,13,7.2
"SEPL",13,14,7.3
"SEPL",13,15,7.4
"SEPL",13,16,7.5
"SEPL",13,17,8.1
"SEPL",13,19,8.4
"SEPL",13,31,12.2
"SESA",14,1,1.1
"SESA",14,2,1.2
"SESA",14,5,2.3
"SESA",14,7,3.2
"SESA",14,8,4.1
"SESA",14,9,4.2
"SESA",14,10,5.2
"SESA",14,11,6.1
"SESA",14,12,7.1
"SESA",14,13,7.2
"SESA",14,15,7.4
"SESA",14,16,7.5
"SESA",14,17,8.1
"SESA",14,18,8.2
"SESA",14,19,8.4
"SESA",14,20,8.5
"SESA",14,22,9.4
"SESA",14,23,9.5
"SESA",14,30,12.1
"SESA",14,31,12.2
"SESA",14,32,12.3
"STSA",15,10,5.2
"STSA",15,11,6.1
"STSA",15,16,7.5
"STSA",15,17,8.1
"STSA",15,18,8.2
"STSA",15,19,8.4
"STSA",15,20,8.5
"STSA",15,22,9.4
"STSA",15,30,12.1
"STSA",15,31,12.2
"STSA",15,32,12.3
"WISN",16,1,1.1
"WISN",16,2,1.2
"WISN",16,11,6.1
"WISN",16,13,7.2
"WISN",16,15,7.4
"WISN",16,16,7.5
"WISN",16,17,8.1
"WISN",16,18,8.2
"WISN",16,30,12.1
"WISN",16,31,12.2
"WISN",16,32,12.3
"WRSA",17,1,1.1
"WRSA",17,3,2.1
"WRSA",17,4,2.2
"WRSA",17,5,2.3
"WRSA",17,6,3.1
"WRSA",17,7,3.2
"WRSA",17,8,4.1
"WRSA",17,9,4.2
"WRSA",17,10,5.2
"WRSA",17,12,7.1
"WRSA",17,14,7.3
"WRSA",17,16,7.5
"WRSA",17,17,8.1
"WRSA",17,18,8.2
"WRSA",17,19,8.4
"WRSA",17,20,8.5
"WRSA",17,21,9.3
"WRSA",17,22,9.4
"WRSA",17,23,9.5
"WRSA",17,26,10.3
"WRSA",17,27,10.4
"WRSA",17,28,10.5
